timestamp,emotion,confidence
2025-02-22 16:53:50,sad,51.8743
2025-02-22 16:53:51,neutral,44.20361
2025-02-22 16:53:51,sad,45.912655
2025-02-22 16:53:52,sad,89.50469
2025-02-22 16:53:53,sad,61.639523
2025-02-22 16:53:53,neutral,69.51166
2025-02-22 16:53:54,sad,87.807755
2025-02-22 16:53:54,sad,93.82853
2025-02-22 16:53:55,sad,58.56406
2025-02-22 16:53:55,sad,46.768826
2025-02-22 16:53:56,sad,57.80608
2025-02-22 16:53:57,sad,90.95122
2025-02-22 16:53:57,neutral,89.777145
2025-02-22 16:53:58,neutral,74.696434
2025-02-22 16:53:58,happy,66.07823
2025-02-22 16:53:59,sad,58.061592
2025-02-22 16:54:00,neutral,93.23284
2025-02-22 16:54:00,neutral,96.36932
2025-02-22 16:54:01,sad,81.22521
2025-02-22 16:54:02,neutral,61.924316
2025-02-22 16:54:02,neutral,76.09356
2025-02-22 16:54:03,neutral,68.288765
2025-02-22 16:54:03,neutral,45.817036
2025-02-22 16:54:04,sad,81.56112
2025-02-22 16:54:05,sad,54.647003
2025-02-22 16:54:05,sad,82.262085
2025-02-22 16:54:06,sad,54.133015
2025-02-22 16:54:06,sad,85.8185
2025-02-22 16:54:07,sad,65.42207
2025-02-22 16:54:07,sad,59.851997
2025-02-22 16:54:08,sad,77.94244
2025-02-22 16:54:09,sad,51.557255
2025-02-22 16:54:09,sad,94.54504
2025-02-22 16:54:10,sad,91.002846
2025-02-22 16:54:10,neutral,98.23302
2025-02-22 16:54:11,sad,88.6831
2025-02-22 16:54:12,sad,68.71619
2025-02-22 16:54:12,angry,49.402344
2025-02-22 16:54:13,sad,73.8241
2025-02-22 16:54:13,sad,66.41263
2025-02-22 16:54:14,sad,60.50618
2025-02-22 16:54:14,angry,49.943718
2025-02-22 16:54:15,neutral,56.60712
2025-02-22 16:54:15,sad,45.9265
2025-02-22 16:54:16,neutral,80.18351
2025-02-22 16:54:16,sad,54.560493
2025-02-22 16:54:17,sad,50.526558
2025-02-22 20:45:42,angry,47.113026
2025-02-22 20:45:43,sad,91.543335
2025-02-22 20:45:44,sad,90.0104
2025-02-22 20:45:44,sad,98.56733
2025-02-22 20:45:45,neutral,91.10803
2025-02-22 20:45:45,happy,92.30862
2025-02-22 20:45:46,neutral,89.551476
2025-02-22 20:45:46,happy,99.7987
2025-02-22 20:45:47,happy,99.986824
2025-02-22 20:45:48,neutral,76.55019
2025-02-22 20:45:48,angry,66.53898
2025-02-22 20:45:49,neutral,50.990887
2025-02-22 20:45:49,angry,53.9468
2025-02-22 20:45:50,angry,54.04403
2025-02-22 20:45:51,angry,41.41562
2025-02-22 20:45:51,fear,33.730656
2025-02-22 20:45:52,neutral,91.723976
2025-02-22 20:45:52,sad,86.859505
2025-02-22 20:45:53,neutral,97.522995
2025-02-22 20:45:53,neutral,46.257847
2025-02-22 20:45:54,neutral,95.108025
2025-02-22 20:45:55,neutral,57.46865
2025-02-22 20:45:55,angry,92.878914
2025-02-22 20:45:56,angry,91.72492
2025-02-22 20:45:56,angry,93.16879
2025-02-22 20:45:57,happy,93.4543
2025-02-22 20:45:58,happy,99.62206
2025-02-22 20:45:58,happy,76.96695
2025-02-22 20:45:59,neutral,77.42565
2025-02-22 20:46:00,neutral,61.73249
2025-02-22 20:46:00,neutral,74.01724
2025-02-22 20:46:01,neutral,71.486206
2025-02-22 20:46:01,angry,53.263184
2025-02-22 20:46:02,angry,54.294353
2025-02-22 20:46:02,angry,55.425156
2025-02-22 20:46:03,neutral,44.93342
2025-02-22 20:46:04,happy,83.97066
2025-02-22 20:46:04,neutral,59.865696
2025-02-22 20:46:05,happy,98.57701
2025-02-22 20:46:05,happy,88.30106
2025-02-22 20:46:06,happy,96.17908
2025-02-22 20:46:06,angry,35.83504
2025-02-22 20:46:07,happy,43.570988
2025-02-22 20:46:08,happy,61.894737
2025-02-22 20:46:08,sad,70.59678
2025-02-22 20:46:09,happy,99.65457
2025-02-22 20:46:10,happy,99.95092
2025-02-22 20:46:10,happy,99.89694
2025-02-22 20:46:11,happy,99.71547
2025-02-22 20:46:11,happy,99.93761
2025-02-22 20:46:12,happy,89.63818
2025-02-22 20:46:12,happy,95.26732
2025-02-22 20:46:13,fear,40.53063
2025-02-22 20:46:14,happy,98.54687
2025-02-22 20:46:14,fear,50.924862
2025-02-22 20:46:15,happy,99.283775
2025-02-22 20:46:15,happy,98.21526
2025-02-22 20:46:16,happy,99.49268
2025-02-22 20:46:16,happy,98.35922
2025-02-22 20:46:17,sad,51.52279
2025-02-22 20:46:18,sad,88.31935
2025-02-22 20:46:18,neutral,60.871964
2025-02-22 20:46:19,neutral,94.81814
2025-02-22 20:46:19,surprise,47.230774
2025-02-22 20:46:20,fear,91.17407
2025-02-22 20:46:20,neutral,67.881
2025-02-22 20:46:21,fear,51.573666
2025-02-22 20:46:22,sad,85.16777
2025-02-22 20:46:22,fear,99.98644
2025-02-22 20:46:23,fear,99.99116
2025-02-22 20:46:23,fear,99.7721
2025-02-22 20:46:24,fear,90.353676
2025-02-22 20:46:24,neutral,95.42926
2025-02-22 20:46:25,neutral,94.40135
2025-02-22 20:46:25,happy,81.36447
2025-02-22 20:46:26,neutral,99.19803
2025-02-22 20:46:26,fear,46.388523
2025-02-22 20:46:27,neutral,90.64638
2025-02-22 20:46:28,neutral,95.86093
2025-02-22 20:46:28,fear,93.02834
2025-02-22 20:46:29,fear,44.33073
2025-02-22 20:46:29,sad,78.691765
2025-02-22 20:46:30,fear,92.55739
2025-02-22 20:46:30,happy,99.95413
2025-02-22 20:46:31,happy,99.333206
2025-02-22 20:46:32,happy,99.96186
2025-02-22 20:46:32,neutral,98.950645
2025-02-22 20:46:33,happy,68.26478
2025-02-22 20:46:33,neutral,99.636986
2025-02-22 20:46:34,happy,97.71051
2025-02-22 20:46:34,angry,91.82621
2025-02-22 20:46:35,neutral,92.412056
2025-02-22 20:46:35,happy,90.2898
2025-02-22 20:46:36,angry,99.45136
2025-02-22 20:46:37,happy,92.78319
2025-02-22 20:46:37,happy,97.57749
2025-02-22 20:46:38,happy,99.99895
2025-02-22 20:46:38,happy,99.99335
2025-02-22 20:46:39,happy,99.979416
2025-02-22 20:46:39,neutral,98.69531
2025-02-22 20:46:40,neutral,39.914104
2025-02-22 20:46:41,angry,42.645416
2025-02-22 20:46:41,neutral,82.51551
2025-02-22 20:46:42,neutral,69.77143
2025-02-22 20:46:42,surprise,99.58668
2025-02-22 20:46:43,surprise,96.65252
2025-02-22 20:46:44,surprise,77.6211
2025-02-22 20:46:44,surprise,99.78361
2025-02-22 20:46:45,neutral,83.57392
2025-02-22 20:46:45,surprise,54.01125
2025-02-22 20:46:46,happy,68.51327
2025-02-22 20:46:47,neutral,82.50754
2025-02-22 20:46:47,neutral,97.23455
2025-02-22 20:46:48,neutral,90.267685
2025-02-22 20:46:48,sad,41.484653
2025-02-22 20:46:49,neutral,80.04397
